",""new_names""";measurement;area;mean;angle;length;length;
"1,""Z5_VLL_1.tif""";1;1.919;55.024;90;21.637;21.637;
"1,""Z5_VLL_1.tif""";2;1.919;54.663;90;21.637;21.637;
"1,""Z5_VLL_1.tif""";3;1.926;54.47;90;21.725;21.725;
"2,""Z5_VLR_1.tif""";1;1.981;54.189;90;22.343;22.343;
"2,""Z5_VLR_1.tif""";2;1.989;54.592;90;22.432;22.432;
"2,""Z5_VLR_1.tif""";3;1.973;54.162;90;22.255;22.255;
"3,""Z5_VLL_2.tif""";1;1.825;58.966;-90;20.577;20.577;
"3,""Z5_VLL_2.tif""";2;1.825;59.761;-90;20.577;20.577;
"3,""Z5_VLL_2.tif""";3;1.833;59.098;-90;20.665;20.665;
"4,""Z5_VLR_2.tif""";1;1.903;58.152;90;21.46;21.46;
"4,""Z5_VLR_2.tif""";2;1.895;58.37;-90;21.372;21.372;
"4,""Z5_VLR_2.tif""";3;1.903;57.975;90;21.46;21.46;
"5,""Z2_VLL_2.tif""";1;2.27;38.756;90;25.611;25.611;
"5,""Z2_VLL_2.tif""";2;2.285;38.881;-90;25.787;25.787;
"5,""Z2_VLL_2.tif""";3;2.27;38.68;-90;25.611;25.611;
"6,""Z2_VLR_3.tif""";1;2.402;38.753;-90;27.112;27.112;
"6,""Z2_VLR_3.tif""";2;2.41;37.638;-90;27.2;27.2;
"6,""Z2_VLR_3.tif""";3;2.41;35.835;-90;27.2;27.2;
"7,""Z2_VLL_1.tif""";1;2.363;32.611;90;26.671;26.671;
"7,""Z2_VLL_1.tif""";2;2.387;33.258;-90;26.936;26.936;
"7,""Z2_VLL_1.tif""";3;2.379;33.085;-90;26.847;26.847;
"8,""Z2_VLR_2.tif""";1;2.301;33.492;-90;25.964;25.964;
"8,""Z2_VLR_2.tif""";2;2.301;33.407;-90;25.964;25.964;
"8,""Z2_VLR_2.tif""";3;2.301;33.247;-90;25.964;25.964;
"9,""Z2_VLL_3.tif""";1;2.285;42.413;90;25.787;25.787;
"9,""Z2_VLL_3.tif""";2;2.254;42.561;-90;25.434;25.434;
"9,""Z2_VLL_3.tif""";3;2.262;43.086;90;25.523;25.523;
"10,""Z2_VLR_1.tif""";1;2.418;44.781;-90;27.289;27.289;
"10,""Z2_VLR_1.tif""";2;2.465;44.554;90;27.819;27.819;
"10,""Z2_VLR_1.tif""";3;2.449;44.159;90;27.642;27.642;
"11,""Z4_VLL_3.tif""";1;2.082;39.487;-90;23.491;23.491;
"11,""Z4_VLL_3.tif""";2;2.082;39.213;-90;23.491;23.491;
"11,""Z4_VLL_3.tif""";3;2.106;38.263;-90;23.756;23.756;
"12,""Z4_VLR_1.tif""";1;2.16;34.159;90;24.374;24.374;
"12,""Z4_VLR_1.tif""";2;2.184;35.179;-90;24.639;24.639;
"12,""Z4_VLR_1.tif""";3;2.176;35.527;-90;24.551;24.551;
"13,""Z4_VLL_1.tif""";1;1.817;37.858;90;20.489;20.489;
"13,""Z4_VLL_1.tif""";2;1.825;38.158;-90;20.577;20.577;
"13,""Z4_VLL_1.tif""";3;1.841;38.674;-90;20.754;20.754;
"14,""Z4_VLR_3.tif""";1;2.028;29.177;-90;22.873;22.873;
"14,""Z4_VLR_3.tif""";2;2.036;30.67;-90;22.961;22.961;
"14,""Z4_VLR_3.tif""";3;2.028;29.412;-90;22.873;22.873;
"15,""Z4_VLL_2.tif""";1;1.755;46.724;90;19.782;19.782;
"15,""Z4_VLL_2.tif""";2;1.763;50.903;-90;19.87;19.87;
"15,""Z4_VLL_2.tif""";3;1.755;45.84;-90;19.782;19.782;
"16,""Z4_VLR_2.tif""";1;2.137;37.077;-90;24.11;24.11;
"16,""Z4_VLR_2.tif""";2;2.153;37.388;90;24.286;24.286;
"16,""Z4_VLR_2.tif""";3;2.153;35.866;-90;24.286;24.286;
"17,""Z3_VLL_2.tif""";1;1.895;49.288;-90;21.372;21.372;
"17,""Z3_VLL_2.tif""";2;1.895;48.634;-90;21.372;21.372;
"17,""Z3_VLL_2.tif""";3;1.903;49.533;-90;21.49;21.49;
"18,""Z3_VLR_3.tif""";1;1.755;46.124;90;19.782;19.782;strange muscle
"18,""Z3_VLR_3.tif""";2;1.763;46.602;-90;19.9;19.9;strange muscle
"18,""Z3_VLR_3.tif""";3;1.755;46.453;90;19.782;19.782;strange muscle
"19,""Z3_VLL_3.tif""";1;1.802;54.996;90;20.312;20.312;
"19,""Z3_VLL_3.tif""";2;1.802;54.524;-90;20.312;20.312;
"19,""Z3_VLL_3.tif""";3;1.825;55.205;-90;20.548;20.548;
"20,""Z3_VLR_1.tif""";1;1.669;66.215;90;18.781;18.781;strange muscle
"20,""Z3_VLR_1.tif""";2;1.677;64.86;90;18.899;18.899;strange muscle
"20,""Z3_VLR_1.tif""";3;1.685;64.986;90;19.017;19.017;strange muscle
"21,""Z3_VLL_1.tif""";1;1.7;58.156;-90;19.135;19.135;
"21,""Z3_VLL_1.tif""";2;1.7;58.702;-90;19.135;19.135;
"21,""Z3_VLL_1.tif""";3;1.708;59.301;-90;19.252;19.252;
"22,""Z3_VLR_2.tif""";1;1.677;54.386;90;18.899;18.899;strange muscle
"22,""Z3_VLR_2.tif""";2;1.692;55.065;90;19.076;19.076;strange muscle
"22,""Z3_VLR_2.tif""";3;1.716;55.227;90;19.341;19.341;strange muscle
"23,""Z1_VLL_1.tif""";1;2.215;40.926;-90;24.993;24.993;
"23,""Z1_VLL_1.tif""";2;2.215;40.081;-90;24.963;24.963;
"23,""Z1_VLL_1.tif""";3;2.207;40.064;-90;24.919;24.919;
"24,""Z1_VLR_1.tif""";1;2.324;43.151;-90;26.229;26.229;
"24,""Z1_VLR_1.tif""";2;2.332;41.799;-90;26.317;26.317;
"24,""Z1_VLR_1.tif""";3;2.34;41.813;-90;26.435;26.435;
"25,""Z1_VLL_3.tif""";1;2.215;40.285;-90;24.948;24.948;
"25,""Z1_VLL_3.tif""";2;2.215;41.901;90;24.963;24.963;
"25,""Z1_VLL_3.tif""";3;2.223;41.874;-90;25.081;25.081;
"26,""Z1_VLR_2.tif""";1;2.309;43.345;-90;26.082;26.082;
"26,""Z1_VLR_2.tif""";2;2.316;42.421;-90;26.141;26.141;
"26,""Z1_VLR_2.tif""";3;2.316;42.013;-90;26.141;26.141;
"27,""Z1_VLL_2.tif""";1;2.106;35.963;-90;23.727;23.727;
"27,""Z1_VLL_2.tif""";2;2.098;37.517;-90;23.668;23.668;
"27,""Z1_VLL_2.tif""";3;2.106;38.437;-90;23.727;23.727;
"28,""Z1_VLR_3.tif""";1;2.293;40.35;-90;25.876;25.876;
"28,""Z1_VLR_3.tif""";2;2.309;40.895;-90;26.052;26.052;
"28,""Z1_VLR_3.tif""";3;2.309;40.74;-90;26.052;26.052;
